model,defense,scenario,mAP50_C,mAP50_P,Δ_mAP50,mAP5095_C,mAP5095_P,Precision_C,Precision_P,Recall_C,Recall_P,Det_img_C,Det_img_P,Δ_Det_img,FP_img_C,FP_img_P,Δ_FP_img,FP@0.3_P,FP@0.5_P,FP@0.7_P
yolov5n,median_ksize13,billboard05,0.8042667195201111,0.562680158376046,-0.241587,0.508657446159143,0.267197918313961,0.8496257937698228,0.7552391919360136,0.7816552626911811,0.4049983364393095,14.72,28.04,13.32,11.14,25.5,14.36,0.32,0.12,0.08
yolov5n,median_ksize13,billboard06,0.6953351263039512,0.5478602190967643,-0.147475,0.4264706038672779,0.2432761286406362,0.8017404013416248,0.6170818150925155,0.66784044323051,0.4683459913981049,14.74,18.8,4.06,10.5,15.26,4.76,0.24,0.16,0.08
yolov5n,median_ksize13,billboard07,0.6685117022865388,0.37803769577536095,-0.290474,0.42503675518336415,0.14138451405872968,0.6236251326984377,0.615101968469745,0.6875166166795315,0.31038366267863726,26.94,31.3,4.36,19.72,27.22,7.5,1.14,0.3,0.16
yolov5n,median_ksize13,billboard08,0.7371811636196566,0.6441736478677015,-0.093008,0.5642933491048383,0.4260332446202953,0.827441276876371,0.7463417578887465,0.7184313725490196,0.5749850022640787,7.78,34.18,26.4,6.86,33.3,26.44,0.74,0.12,0.02
yolov5n,median_ksize13,billboard09,0.7074966807640339,0.33933181546754965,-0.368165,0.3880231889676199,0.15510606128459536,0.837717259941735,0.7491812483471421,0.5641413293047635,0.23144976246168272,38.0,38.9,0.9,31.82,35.04,3.22,0.42,0.18,0.08
yolov5n,jpeg_quality95,billboard04,0.9558519634820103,0.5677107636917652,-0.388141,0.6627375454981697,0.3493392004837284,0.9416047818333781,0.5983755709376124,0.8909090909090909,0.6113963539217317,8.38,37.2,28.82,6.56,35.52,28.96,4.88,1.76,0.44
yolov5n,jpeg_quality95,billboard05,0.8200833900915057,0.6738515010553785,-0.146232,0.556792490355559,0.3699806776656418,0.8899612685707655,0.799038712448345,0.7798707951353973,0.5582600856434528,10.36,29.68,19.32,6.72,26.42,19.7,0.92,0.34,0.18
yolov5n,jpeg_quality95,billboard06,0.7817501109075251,0.5622680194196775,-0.219482,0.5235179609452831,0.3250363699159084,0.8131272230896741,0.5742492662381363,0.784614048414319,0.5328897596666143,10.76,37.48,26.72,6.38,33.66,27.28,3.16,1.02,0.16
yolov5n,jpeg_quality95,billboard07,0.840174776200048,0.5780868596768256,-0.262088,0.5130488579648901,0.27916109144898493,0.8722175291706737,0.6528621819318456,0.8826549761966832,0.6139771240350972,22.58,34.5,11.92,15.24,29.24,14.0,2.82,2.28,0.18
yolov5n,jpeg_quality95,billboard08,0.7734810758300908,0.6908837879870463,-0.082597,0.6144304286168611,0.5244648011272579,0.8890964640457701,0.9018814316783988,0.7355224947746434,0.6467164418814189,14.16,48.96,34.8,13.14,47.98,34.84,3.4,0.54,0.04
yolov5n,jpeg_quality95,billboard09,0.8605796739383531,0.6429215265708668,-0.217658,0.527451123140492,0.2957166311124355,0.8738668280186441,0.794261803180718,0.8287736668403682,0.4761594580510683,28.9,57.48,28.58,22.32,51.1,28.78,5.36,2.3,0.26
yolov5n,bitdepth_bits7,billboard04,0.954866262011441,0.5860103738649626,-0.368856,0.6654727544861914,0.3599515242554659,0.9371799812817218,0.5837459779801026,0.8898812877874642,0.6227272727272727,8.36,37.88,29.52,6.52,36.22,29.7,5.44,1.78,0.5
yolov5n,bitdepth_bits7,billboard05,0.8243504414729016,0.7141184539794136,-0.110232,0.5593211997937118,0.38423861761097816,0.9032891260290438,0.9649224186856532,0.7774488201966298,0.6082342861876219,10.46,30.52,20.06,6.84,27.26,20.42,0.58,0.28,0.18
yolov5n,bitdepth_bits7,billboard06,0.7727093376109831,0.5705512979936956,-0.202158,0.5233173783570586,0.3327116062547829,0.8253553084464874,0.5630788654964595,0.7847494553376907,0.5425925925925926,10.9,38.02,27.12,6.52,34.14,27.62,3.24,0.88,0.14
yolov5n,bitdepth_bits7,billboard07,0.8366583110196545,0.5492297323701386,-0.287429,0.5150022363841357,0.2748505440834833,0.873385836282184,0.6563965130094127,0.8771145714971246,0.6180101676235076,22.68,34.24,11.56,15.38,28.78,13.4,2.9,2.22,0.24
yolov5n,bitdepth_bits7,billboard08,0.7684475723795696,0.6980075948295427,-0.07044,0.6097535002485668,0.5227057344968218,0.8590621572436091,0.9364663810000112,0.7380392156862744,0.6537595607173126,14.94,49.0,34.06,13.92,48.02,34.1,3.16,0.58,0.04
yolov5n,bitdepth_bits7,billboard09,0.8734561708185875,0.6589910990041101,-0.214465,0.5339677133028943,0.3047790701234857,0.8852287637384195,0.8563318796891732,0.8439531607861102,0.49425571035199933,28.56,54.88,26.32,21.98,48.54,26.56,4.64,1.68,0.16
