Scenario,mAP50_C,mAP50_P,Δ_mAP50,mAP50-95_C,mAP50-95_P,Δ_mAP50-95,Precision_C,Precision_P,Recall_C,Recall_P,Det_img_C,Det_img_P,Δ_Det_img,FP_img_C,FP_img_P,Δ_FP_img
billboard02,0.874,0.75,-0.124,0.627,0.347,-0.28,0.924,0.83,0.766,0.69,8.020000457763672,17.15999984741211,9.139999389648438,3.5199999809265137,13.039999961853027,9.519999980926514
billboard03,0.954,0.901,-0.052999999999999936,0.72,0.537,-0.18299999999999994,0.962,0.89,0.879,0.866,5.320000171661377,10.020000457763672,4.700000286102295,2.8399999141693115,7.659999847412109,4.819999933242798
billboard04,0.958,0.714,-0.244,0.691,0.414,-0.27699999999999997,0.912,0.959,0.924,0.644,4.78000020980835,11.039999961853027,6.259999752044678,2.940000057220459,9.5,6.559999942779541
billboard05,0.89,0.835,-0.05500000000000005,0.638,0.443,-0.195,0.952,0.966,0.865,0.702,7.579999923706055,11.380000114440918,3.8000001907348633,3.9000000953674316,8.039999961853027,4.139999866485596
billboard06,0.843,0.723,-0.12,0.617,0.419,-0.198,0.92,0.814,0.811,0.591,7.400000095367432,12.5600004196167,5.160000324249268,3.0199999809265137,8.539999961853027,5.519999980926514
billboard07,0.868,0.772,-0.09599999999999997,0.587,0.365,-0.22199999999999998,0.903,0.917,0.856,0.598,12.920000076293945,16.760000228881836,3.8400001525878906,5.800000190734863,11.5600004196167,5.760000228881836
billboard08,0.896,0.723,-0.17300000000000004,0.672,0.546,-0.126,0.899,0.973,0.856,0.627,6.059999942779541,9.4399995803833,3.3799996376037598,4.980000019073486,8.520000457763672,3.5400004386901855
billboard09,0.884,0.771,-0.11299999999999999,0.616,0.363,-0.253,0.858,0.843,0.863,0.726,14.279999732971191,22.020000457763672,7.7400007247924805,7.739999771118164,15.800000190734863,8.0600004196167
