Scenario,Det/img@0.001 C,Det/img@0.001 P,Det/img@0.001 Δ,Det/img@0.3 C,Det/img@0.3 P,Det/img@0.3 Δ,Det/img@0.5 C,Det/img@0.5 P,Det/img@0.5 Δ,Det/img@0.7 C,Det/img@0.7 P,Det/img@0.7 Δ,FP/img@0.001 C,FP/img@0.001 P,FP/img@0.001 Δ,FP/img@0.3 C,FP/img@0.3 P,FP/img@0.3 Δ,FP/img@0.5 C,FP/img@0.5 P,FP/img@0.5 Δ,FP/img@0.7 C,FP/img@0.7 P,FP/img@0.7 Δ
billboard02,58.92,67.9,8.980000000000004,4.0,4.08,0.08000000000000007,1.82,1.64,-0.18000000000000016,0.44,0.42,-0.020000000000000018,56.98,66.28,9.300000000000004,2.54,2.76,0.21999999999999975,0.92,0.82,-0.10000000000000009,0.04,0.04,0.0
billboard03,64.7,63.66,-1.0400000000000063,2.36,3.4,1.04,1.3,1.64,0.33999999999999986,0.72,0.68,-0.039999999999999925,63.18,62.24,-0.9399999999999977,1.16,2.24,1.0800000000000003,0.2,0.58,0.37999999999999995,0.04,0.06,0.019999999999999997
billboard04,68.16,78.2,10.040000000000006,2.44,2.86,0.41999999999999993,0.94,0.94,0.0,0.46,0.44,-0.020000000000000018,66.62,76.82,10.199999999999989,1.28,1.82,0.54,0.08,0.16,0.08,0.0,0.0,0.0
billboard05,36.62,47.6,10.980000000000004,1.1,2.16,1.06,0.66,1.32,0.66,0.38,0.42,0.03999999999999998,35.94,46.92,10.980000000000004,0.46,1.48,1.02,0.12,0.78,0.66,0.02,0.04,0.02
billboard06,43.0,49.86,6.859999999999999,1.56,2.42,0.8599999999999999,0.98,1.6,0.6200000000000001,0.64,0.64,0.0,41.86,48.74,6.880000000000003,0.56,1.44,0.8799999999999999,0.1,0.84,0.74,0.04,0.2,0.16
billboard07,54.54,61.56,7.020000000000003,3.8,5.14,1.3399999999999999,1.22,1.98,0.76,0.34,0.36,0.019999999999999962,52.2,59.74,7.539999999999999,2.2,3.96,1.7599999999999998,0.32,1.48,1.16,0.0,0.04,0.04
billboard08,27.22,37.94,10.719999999999999,0.76,1.5,0.74,0.42,0.52,0.10000000000000003,0.3,0.32,0.020000000000000018,26.68,37.44,10.759999999999998,0.34,1.08,0.74,0.04,0.14,0.1,0.0,0.02,0.02
billboard09,90.2,96.94,6.739999999999995,5.92,7.32,1.4000000000000004,3.34,3.94,0.6000000000000001,2.48,2.12,-0.3599999999999999,84.9,91.92,7.019999999999996,2.48,3.94,1.46,0.44,1.08,0.6400000000000001,0.08,0.12,0.039999999999999994
MEAN,55.42,62.9575,7.5375000000000005,2.7424999999999997,3.61,0.8674999999999999,1.335,1.6974999999999998,0.3625,0.72,0.675,-0.044999999999999984,53.545,61.2625,7.717499999999999,1.3775,2.34,0.9625,0.2775,0.735,0.4575,0.0275,0.065,0.0375
