model,baseline_clean_mAP50,baseline_patched_mAP50,lgs_clean_mAP50,lgs_patched_mAP50,delta_clean_mAP50,delta_patched_mAP50,baseline_clean_mAP5095,baseline_patched_mAP5095,lgs_clean_mAP5095,lgs_patched_mAP5095,delta_clean_mAP5095,delta_patched_mAP5095,baseline_elapsed_s,lgs_elapsed_s,baseline_det@0001,baseline_fp@0001,lgs_det@0001,lgs_fp@0001,delta_det@0001,delta_fp@0001,baseline_det@03,baseline_fp@03,lgs_det@03,lgs_fp@03,delta_det@03,delta_fp@03,baseline_det@05,baseline_fp@05,lgs_det@05,lgs_fp@05,delta_det@05,delta_fp@05,baseline_det@07,baseline_fp@07,lgs_det@07,lgs_fp@07,delta_det@07,delta_fp@07
yolov5n,0.8399,0.3189,0.7721,0.6655,-0.0678,0.3466,0.569,0.1822,0.5019,0.3454,-0.0671,0.1632,64.4,49.9,40.7,37.09,18.56,15.247,-22.14,-21.843,6.273,3.35,3.283,0.603,-2.99,-2.747,3.84,1.227,2.643,0.29,-1.197,-0.937,2.343,0.207,1.967,0.117,-0.376,-0.09
yolov8n,0.7784,0.2683,0.7124,0.6025,-0.066,0.3342,0.5093,0.1616,0.446,0.3161,-0.0633,0.1545,66.2,50.9,63.247,59.56,25.077,21.71,-38.17,-37.85,8.833,6.277,2.58,0.4,-6.253,-5.877,3.737,1.593,1.947,0.163,-1.79,-1.43,1.617,0.09,1.23,0.063,-0.387,-0.027
yolov8s,0.8747,0.3685,0.8264,0.694,-0.0483,0.3255,0.6303,0.2162,0.5481,0.374,-0.0822,0.1578,65.7,51.1,16.303,12.793,9.613,6.503,-6.69,-6.29,4.21,1.247,2.92,0.507,-1.29,-0.74,3.543,0.77,2.527,0.323,-1.016,-0.447,2.847,0.343,2.13,0.2,-0.717,-0.143
