Scenario,Det/img@0.001_C,Det/img@0.001_P,FP/img@0.001_C,FP/img@0.001_P,Det/img@0.3_C,Det/img@0.3_P,FP/img@0.3_C,FP/img@0.3_P,Det/img@0.5_C,Det/img@0.5_P,FP/img@0.5_C,FP/img@0.5_P,Det/img@0.7_C,Det/img@0.7_P,FP/img@0.7_C,FP/img@0.7_P
billboard01,10.82,42.88,7.62,40.6,3.44,5.38,0.4,3.26,3.18,3.52,0.3,1.46,2.8,2.06,0.12,0.32
billboard02,15.76,43.8,11.14,39.22,4.88,6.56,0.68,2.58,4.32,4.48,0.34,0.84,3.52,2.74,0.16,0.22
billboard03,10.18,34.88,7.7,32.52,2.34,3.88,0.14,2.06,2.22,2.32,0.1,0.7,1.88,1.46,0.06,0.12
billboard04,9.94,35.46,8.1,33.84,1.98,3.58,0.26,2.28,1.68,1.78,0.06,0.58,1.3,1.0,0.02,0.0
billboard05,12.98,27.48,9.34,24.18,3.88,4.4,0.36,1.66,3.58,3.0,0.28,0.44,3.1,2.44,0.12,0.1
billboard06,14.12,30.48,9.72,26.5,4.46,5.28,0.32,2.02,4.12,3.56,0.18,0.48,3.68,2.88,0.08,0.18
billboard07,21.4,33.84,14.14,28.6,8.16,6.36,1.3,2.1,6.92,4.76,0.84,0.72,4.98,3.6,0.34,0.24
billboard08,19.1,32.02,18.02,31.04,1.0,2.54,0.12,1.66,0.98,1.08,0.1,0.26,0.88,0.76,0.06,0.02
billboard09,29.56,58.26,22.92,51.88,7.3,9.06,1.42,4.14,4.76,5.48,0.32,1.46,3.5,3.18,0.18,0.18
