Scenario,mAP50_C,mAP50_P,Δ_mAP50,mAP50-95_C,mAP50-95_P,Δ_mAP50-95,Precision_C,Precision_P,Recall_C,Recall_P,Det_img_C,Det_img_P,Δ_Det_img,FP_img_C,FP_img_P,Δ_FP_img
billboard02,0.791,0.467,-0.324,0.456,0.204,-0.252,0.812,0.598,0.758,0.611,21.299999237060547,69.62000274658203,48.320003509521484,16.600000381469727,65.13999938964844,48.53999900817871
billboard03,0.92,0.808,-0.11199999999999999,0.644,0.462,-0.182,0.91,0.805,0.838,0.764,17.579999923706055,65.30000305175781,47.72000312805176,15.0600004196167,62.959999084472656,47.89999866485596
billboard04,0.903,0.675,-0.22799999999999998,0.603,0.388,-0.21499999999999997,0.856,0.835,0.82,0.626,14.100000381469727,61.2400016784668,47.14000129699707,12.279999732971191,59.68000030517578,47.40000057220459
billboard05,0.781,0.651,-0.13,0.497,0.346,-0.15100000000000002,0.881,0.654,0.714,0.619,20.420000076293945,69.0199966430664,48.59999656677246,16.899999618530273,65.9800033569336,49.08000373840332
billboard06,0.731,0.636,-0.09499999999999997,0.475,0.367,-0.10799999999999998,0.724,0.764,0.762,0.546,21.31999969482422,66.58000183105469,45.26000213623047,16.979999542236328,62.65999984741211,45.68000030517578
billboard07,0.671,0.607,-0.06400000000000006,0.455,0.28,-0.175,0.63,0.718,0.684,0.484,33.7400016784668,75.77999877929688,42.03999710083008,26.520000457763672,70.45999908447266,43.939998626708984
billboard08,0.763,0.718,-0.04500000000000004,0.588,0.539,-0.04899999999999993,0.873,0.799,0.718,0.718,20.600000381469727,66.05999755859375,45.45999717712402,19.5,65.08000183105469,45.58000183105469
billboard09,0.803,0.731,-0.07200000000000006,0.454,0.317,-0.137,0.761,0.809,0.748,0.628,52.939998626708984,92.04000091552734,39.10000228881836,46.31999969482422,85.58000183105469,39.26000213623047
