Scenario,mAP50_C,mAP50_P,Δ_mAP50,mAP50-95_C,mAP50-95_P,Δ_mAP50-95,Precision_C,Precision_P,Recall_C,Recall_P,Det_img_C,Det_img_P,Δ_Det_img,FP_img_C,FP_img_P,Δ_FP_img
billboard02,0.826,0.722,-0.10399999999999998,0.521,0.304,-0.21700000000000003,0.838,0.852,0.772,0.622,15.760000228881836,43.79999923706055,28.03999900817871,11.140000343322754,39.220001220703125,28.08000087738037
billboard03,0.935,0.801,-0.134,0.686,0.449,-0.23700000000000004,0.97,0.876,0.857,0.634,10.180000305175781,34.880001068115234,24.700000762939453,7.699999809265137,32.52000045776367,24.820000648498535
billboard04,0.947,0.683,-0.2639999999999999,0.645,0.411,-0.23400000000000004,0.907,0.865,0.904,0.577,9.9399995803833,35.459999084472656,25.519999504089355,8.100000381469727,33.84000015258789,25.739999771118164
billboard05,0.872,0.711,-0.16100000000000003,0.553,0.379,-0.17400000000000004,0.856,0.96,0.866,0.599,12.979999542236328,27.479999542236328,14.5,9.34000015258789,24.18000030517578,14.84000015258789
billboard06,0.764,0.582,-0.18200000000000005,0.548,0.341,-0.20700000000000002,0.865,0.585,0.747,0.512,14.119999885559082,30.479999542236328,16.359999656677246,9.720000267028809,26.5,16.77999973297119
billboard07,0.843,0.672,-0.17099999999999993,0.537,0.295,-0.24200000000000005,0.867,0.89,0.884,0.552,21.399999618530273,33.84000015258789,12.440000534057617,14.140000343322754,28.600000381469727,14.460000038146973
billboard08,0.759,0.681,-0.07799999999999996,0.601,0.517,-0.08399999999999996,0.864,0.895,0.736,0.653,19.100000381469727,32.02000045776367,12.920000076293945,18.020000457763672,31.040000915527344,13.020000457763672
billboard09,0.88,0.722,-0.15800000000000003,0.542,0.334,-0.20800000000000002,0.868,0.859,0.852,0.572,29.559999465942383,58.2599983215332,28.69999885559082,22.920000076293945,51.880001068115234,28.96000099182129
