Scenario,Variant,mAP50_C,mAP50_P,mAP50_Δ,mAP50_95_C,mAP50_95_P,mAP50_95_Δ,Precision_C,Precision_P,Precision_Δ,Recall_C,Recall_P,Recall_Δ,Det/img@0.001_C,Det/img@0.001_P,Det/img@0.001_Δ,Det/img@0.3_C,Det/img@0.3_P,Det/img@0.3_Δ,Det/img@0.5_C,Det/img@0.5_P,Det/img@0.5_Δ,Det/img@0.7_C,Det/img@0.7_P,Det/img@0.7_Δ,FP/img@0.001_C,FP/img@0.001_P,FP/img@0.001_Δ,FP/img@0.3_C,FP/img@0.3_P,FP/img@0.3_Δ,FP/img@0.5_C,FP/img@0.5_P,FP/img@0.5_Δ,FP/img@0.7_C,FP/img@0.7_P,FP/img@0.7_Δ,Patched_images_matched,Patched_images_skipped,Patched_annotations
billboard01,own_patch,0.7305,0.659,-0.0715,0.4047,0.374,-0.0306,0.8593,0.7754,-0.0839,0.6988,0.6446,-0.0542,44.12,48.12,4.0,3.98,4.68,0.7,2.7,2.76,0.06,1.6,1.5,-0.1,41.12,45.12,4.0,1.24,2.04,0.8,0.38,0.62,0.24,0.14,0.14,0.0,50.0,0.0,166.0
billboard02,own_patch,0.6533,0.5808,-0.0724,0.3519,0.3069,-0.045,0.8235,0.7897,-0.0338,0.6885,0.6311,-0.0574,47.22,54.16,6.94,5.96,6.38,0.42,4.08,3.9,-0.18,0.88,0.78,-0.1,42.98,50.0,7.02,2.22,2.74,0.52,0.72,0.82,0.1,0.04,0.04,0.0,50.0,0.0,244.0
billboard03,own_patch,0.7019,0.6522,-0.0496,0.4352,0.4212,-0.014,0.9136,0.7188,-0.1948,0.5781,0.5391,-0.0391,37.44,43.98,6.54,2.26,3.44,1.18,1.62,1.92,0.3,0.92,0.96,0.04,35.2,41.84,6.64,0.4,1.6,1.2,0.14,0.54,0.4,0.06,0.12,0.06,50.0,0.0,128.0
billboard04,own_patch,0.6731,0.5721,-0.101,0.3888,0.3283,-0.0605,0.9362,0.875,-0.0612,0.4731,0.4516,-0.0215,38.82,51.26,12.44,2.2,2.26,0.06,0.94,0.96,0.02,0.52,0.52,0.0,37.2,49.76,12.56,0.82,0.96,0.14,0.06,0.12,0.06,0.0,0.0,0.0,50.0,0.0,93.0
billboard05,own_patch,0.6697,0.6241,-0.0456,0.4211,0.3729,-0.0482,0.9204,0.9074,-0.0129,0.5622,0.5297,-0.0324,30.42,39.52,9.1,3.78,3.54,-0.24,2.26,2.16,-0.1,1.04,0.82,-0.22,27.0,36.3,9.3,0.74,0.82,0.08,0.18,0.2,0.02,0.02,0.02,0.0,50.0,0.0,185.0
billboard06,own_patch,0.6321,0.5882,-0.0439,0.4176,0.3916,-0.026,0.9608,0.9704,0.0096,0.6592,0.5874,-0.0717,31.44,35.34,3.9,4.34,3.6,-0.74,3.06,2.7,-0.36,1.76,1.44,-0.32,27.24,31.36,4.12,0.52,0.34,-0.18,0.12,0.08,-0.04,0.02,0.0,-0.02,50.0,0.0,223.0
billboard07,own_patch,0.6283,0.5493,-0.079,0.4135,0.3451,-0.0683,0.8451,0.8202,-0.0249,0.64,0.4987,-0.1413,52.08,59.72,7.64,9.06,7.86,-1.2,5.68,4.56,-1.12,1.94,1.64,-0.3,45.12,52.96,7.84,2.56,2.84,0.28,0.88,0.82,-0.06,0.1,0.04,-0.06,50.0,0.0,375.0
billboard08,own_patch,0.6661,0.637,-0.0291,0.4694,0.4522,-0.0172,0.9535,0.5395,-0.414,0.6949,0.6949,0.0,17.14,28.7,11.56,1.1,2.22,1.12,0.86,1.52,0.66,0.68,0.94,0.26,16.22,27.84,11.62,0.26,1.4,1.14,0.04,0.7,0.66,0.0,0.28,0.28,50.0,0.0,59.0
billboard09,own_patch,0.4621,0.3955,-0.0666,0.3012,0.2548,-0.0464,0.895,0.8563,-0.0387,0.4751,0.437,-0.0381,71.14,74.1,2.96,7.8,8.42,0.62,3.62,3.48,-0.14,2.84,2.64,-0.2,65.3,68.38,3.08,2.84,3.64,0.8,0.38,0.5,0.12,0.08,0.1,0.02,50.0,0.0,341.0
